# ----------------------------------------
# 1 Master View
# Webanalytics_Analyse
# 20100101-20181217
# ----------------------------------------

Default Channel Grouping (Standard-Channelgruppierung),Alter,Land,Absprungrate,Nutzer,Seiten/Sitzung,Durchschnittl. Sitzungsdauer,Eindeutige Ereignisse,Hinzufügungen des Produkts zum Einkaufswagen,Purchase Completed (Abschlüsse für Zielvorhaben 1),E-Commerce-Conversion-Rate,Durchschn. Preis,Durchschn. Bestellwert,Gesamtwert,Umsatz
Affiliates,18-24,Japan,"71,29 %",94,"1,29",00:00:07,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,18-24,Netherlands,"71,29 %",94,"1,71",00:00:25,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,55-64,New Zealand,"71,29 %",87,"4,00",00:01:14,58,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,65+,Mexico,"71,29 %",101,"2,43",00:00:38,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,45-54,Netherlands,"71,29 %",94,"2,00",00:00:42,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Montenegro,"71,29 %",101,"1,86",00:00:38,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Nigeria,"71,29 %",94,"1,50",00:00:22,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Peru,"71,23 %",1.522,"2,02",00:00:58,685,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Indonesia,"71,17 %",267,"1,37",00:00:38,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,China,"71,16 %",505,"2,42",00:01:37,202,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Poland,"71,10 %",1.738,"1,67",00:00:43,426,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,18-24,India,"71,10 %",115,"2,00",00:01:50,72,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,China,"71,10 %",159,"2,50",00:00:56,29,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Nigeria,"70,88 %",426,"1,71",00:01:13,137,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Serbia,"70,81 %",382,"1,74",00:00:38,72,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Turkey,"70,79 %",4.393,"1,56",00:00:32,1.479,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Belarus,"70,73 %",123,"4,80",00:01:16,36,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Bosnia & Herzegovina,"70,73 %",115,"2,70",00:00:58,50,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Morocco,"70,73 %",101,"2,70",00:00:40,43,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Denmark,"70,73 %",115,"1,99",00:00:31,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Ghana,"70,73 %",115,"1,53",00:00:27,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Germany,"70,72 %",2.005,"2,04",00:00:50,519,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,France,"70,65 %",346,"1,49",00:00:47,43,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Morocco,"70,64 %",591,"1,67",00:01:09,123,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Mexico,"70,56 %",1.089,"1,70",00:00:42,317,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Venezuela,"70,52 %",555,"2,27",00:01:15,216,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Poland,"70,41 %",224,"2,57",00:01:17,72,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Peru,"70,40 %",837,"1,85",00:00:49,411,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Ukraine,"70,14 %",130,"2,15",00:01:56,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,65+,France,"70,14 %",130,"2,45",00:00:51,58,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Kosovo,"70,14 %",130,"1,40",00:00:14,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Taiwan,"69,90 %",375,"2,32",00:01:00,65,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Romania,"69,82 %",426,"4,02",00:03:07,108,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Slovakia,"69,78 %",555,"2,69",00:01:14,188,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Philippines,"69,75 %",224,"1,73",00:00:33,72,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Spain,"69,75 %",216,"1,67",00:00:43,36,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Kazakhstan,"69,55 %",390,"1,57",00:00:22,36,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Italy,"69,47 %",1.284,"2,04",00:00:45,512,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Thailand,"69,45 %",2.647,"1,47",00:00:26,411,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Czechia,"69,44 %",72,"1,50",00:00:09,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Kenya,"69,40 %",260,"1,85",00:00:32,22,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Thailand,"69,39 %",1.169,"1,41",00:00:27,87,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,65+,United Kingdom,"69,30 %",1.075,"2,23",00:00:52,224,22,7,"0,60 %","34,57 $","84,63 $","592,43 $","592,43 $"
Social,18-24,(not set),"69,28 %",166,"1,61",00:00:39,36,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Georgia,"69,28 %",166,"1,43",00:00:15,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Kazakhstan,"69,28 %",166,"1,39",00:01:09,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Peru,"69,26 %",1.883,"1,68",00:00:29,909,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Mexico,"69,17 %",1.435,"1,64",00:00:28,519,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,35-44,South Korea,"69,15 %",72,"2,22",00:00:55,29,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,45-54,Israel,"69,15 %",87,"2,77",00:02:13,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,25-34,Finland,"69,15 %",79,"2,61",00:02:32,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,55-64,Brazil,"69,15 %",94,"1,84",00:01:52,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Nepal,"69,15 %",94,"3,46",00:00:38,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Estonia,"69,15 %",94,"2,00",00:00:24,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Iraq,"69,15 %",94,"2,22",00:02:21,43,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Ecuador,"68,98 %",303,"1,57",00:00:37,58,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,25-34,Pakistan,"68,90 %",195,"1,73",00:01:02,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Georgia,"68,83 %",224,"1,81",00:00:55,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Czechia,"68,79 %",346,"2,48",00:01:52,108,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,25-34,Philippines,"68,70 %",101,"3,01",00:04:08,36,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,45-54,Spain,"68,70 %",87,"2,38",00:04:18,36,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Bangladesh,"68,70 %",115,"2,01",00:01:08,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,45-54,Sweden,"68,70 %",115,"2,63",00:03:44,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Nigeria,"68,61 %",123,"3,16",00:03:01,43,43,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,55-64,Japan,"68,61 %",108,"2,64",00:02:09,65,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,United Arab Emirates,"68,61 %",137,"1,47",00:00:25,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Mexico,"68,56 %",866,"1,61",00:00:24,411,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Czechia,"68,46 %",382,"1,96",00:00:34,50,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Vietnam,"68,39 %",2.373,"2,79",00:01:43,361,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Bangladesh,"68,37 %",613,"2,56",00:01:50,245,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Argentina,"68,36 %",952,"1,91",00:01:00,303,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Hungary,"68,33 %",166,"2,12",00:00:23,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Saudi Arabia,"68,30 %",909,"1,50",00:00:25,216,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Vietnam,"68,14 %",664,"1,85",00:00:41,94,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,45-54,Brazil,"68,14 %",281,"3,55",00:01:56,108,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Hong Kong,"68,14 %",281,"1,59",00:00:43,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Germany,"68,10 %",757,"2,79",00:01:05,151,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Saudi Arabia,"67,76 %",238,"1,47",00:00:17,36,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Bangladesh,"67,59 %",411,"3,09",00:01:40,245,72,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Thailand,"67,54 %",3.621,"1,57",00:00:34,599,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,18-24,United States,"67,52 %",3.556,"3,29",00:01:54,1.955,519,65,"1,28 %","6,85 $","263,09 $","17.101,07 $","17.101,07 $"
Social,35-44,Tunisia,"67,47 %",281,"2,22",00:01:00,245,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Venezuela,"67,41 %",195,"2,12",00:01:58,94,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Chile,"67,25 %",375,"3,91",00:02:14,101,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Paid Search,35-44,Canada,"67,22 %",267,"5,42",00:04:07,332,101,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,France,"67,02 %",1.284,"2,13",00:01:03,281,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Finland,"66,92 %",130,"2,38",00:00:38,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Ecuador,"66,92 %",130,"1,72",00:00:26,123,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Pakistan,"66,92 %",101,"1,45",00:00:17,14,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Switzerland,"66,90 %",267,"2,13",00:01:16,72,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Turkey,"66,90 %",2.085,"1,79",00:00:44,923,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Lithuania,"66,89 %",151,"1,67",00:00:24,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Lebanon,"66,81 %",224,"1,55",00:00:42,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,United Arab Emirates,"66,76 %",332,"1,48",00:00:23,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Kenya,"66,67 %",79,"2,07",00:00:20,43,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,65+,France,"66,67 %",101,"3,14",00:01:18,65,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,65+,United Kingdom,"66,67 %",108,"1,67",00:00:20,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Finland,"66,67 %",72,"2,40",00:03:04,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,65+,Israel,"66,67 %",87,"2,66",00:00:19,58,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,18-24,Ukraine,"66,67 %",87,"1,83",00:00:33,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,35-44,Thailand,"66,67 %",87,"3,64",00:02:09,50,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Mongolia,"66,67 %",108,"1,60",00:00:10,29,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Cyprus,"66,67 %",87,"1,41",00:00:05,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Bolivia,"66,67 %",87,"1,91",00:00:43,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Greece,"66,67 %",209,"1,47",00:00:57,79,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Netherlands,"66,67 %",101,"1,54",00:00:34,7,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Venezuela,"66,67 %",87,"1,32",00:00:22,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Canada,"66,67 %",195,"1,74",00:00:24,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Mexico,"66,58 %",2.799,"1,80",00:00:34,1.320,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,65+,Australia,"66,54 %",252,"3,11",00:01:51,87,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Mexico,"66,53 %",3.736,"1,84",00:00:40,1.854,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Belgium,"66,47 %",151,"6,05",00:02:35,72,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Kenya,"66,47 %",159,"2,00",00:01:30,58,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Norway,"66,47 %",166,"1,54",00:00:11,79,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Bangladesh,"66,47 %",159,"1,50",00:00:46,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Bangladesh,"66,46 %",317,"1,86",00:00:56,36,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Ireland,"66,41 %",3.058,"2,65",00:00:57,1.082,252,7,"0,18 %","13,53 $","473,66 $","3.315,65 $","3.315,65 $"
Social,18-24,Israel,"66,40 %",959,"1,88",00:00:46,289,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Mexico,"66,39 %",5.194,"1,82",00:00:43,2.597,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Ireland,"66,16 %",1.450,"2,41",00:01:36,375,58,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Italy,"66,10 %",447,"2,08",00:01:03,260,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Colombia,"66,05 %",1.169,"2,33",00:01:10,462,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Spain,"65,92 %",1.219,"2,35",00:00:49,390,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,55-64,United Kingdom,"65,90 %",1.435,"1,97",00:00:46,267,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Spain,"65,88 %",151,"1,85",00:04:23,22,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Peru,"65,83 %",1.940,"1,65",00:00:37,981,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Taiwan,"65,79 %",700,"1,84",00:00:44,123,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Portugal,"65,76 %",729,"2,68",00:01:49,195,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Vietnam,"65,64 %",1.118,"1,89",00:00:48,303,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Indonesia,"65,55 %",209,"1,73",00:00:50,65,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Singapore,"65,55 %",202,"2,14",00:00:50,58,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Australia,"65,55 %",209,"2,45",00:00:35,65,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,55-64,India,"65,45 %",563,"2,11",00:01:53,101,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Portugal,"65,43 %",180,"1,77",00:00:23,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Tunisia,"65,41 %",534,"2,43",00:00:45,433,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Singapore,"65,37 %",224,"2,81",00:01:13,79,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,25-34,New Zealand,"65,28 %",137,"3,51",00:01:18,94,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,(not set),"65,28 %",144,"2,31",00:00:27,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Albania,"65,28 %",137,"1,50",00:00:28,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,France,"65,26 %",1.125,"2,58",00:00:50,375,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Serbia,"65,06 %",325,"2,65",00:00:55,130,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Greece,"65,06 %",144,"1,91",00:00:27,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,55-64,Colombia,"65,06 %",87,"3,34",00:02:18,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Pakistan,"65,06 %",166,"1,69",00:00:34,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,35-44,United States,"64,99 %",5.417,"3,12",00:01:18,2.712,620,72,"0,98 %","29,64 $","161,03 $","11.593,88 $","11.593,88 $"
Organic Search,25-34,Slovenia,"64,90 %",224,"2,71",00:00:33,65,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Kazakhstan,"64,90 %",245,"1,80",00:00:25,36,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,35-44,Canada,"64,84 %",454,"3,39",00:01:46,231,180,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,18-24,South Korea,"64,79 %",224,"2,30",00:01:02,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Belgium,"64,79 %",267,"2,05",00:00:17,50,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Turkey,"64,75 %",8.634,"1,78",00:00:40,4.039,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,France,"64,71 %",685,"2,34",00:01:02,274,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Serbia,"64,56 %",765,"1,87",00:00:35,195,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,United Kingdom,"64,42 %",14.578,"2,81",00:01:13,5.879,1.349,29,"0,16 %","14,15 $","388,48 $","11.266,04 $","11.266,04 $"
Direct,25-34,Morocco,"64,36 %",79,"4,36",00:01:14,29,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,55-64,Spain,"64,36 %",79,"1,86",00:04:45,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Ecuador,"64,36 %",404,"2,05",00:00:52,115,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Cambodia,"64,36 %",101,"1,71",00:00:18,14,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,United Arab Emirates,"64,36 %",267,"1,55",00:00:24,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Paid Search,65+,United States,"64,32 %",2.784,"2,86",00:01:10,1.738,137,43,"1,39 %","29,22 $","37,65 $","1.882,52 $","1.882,52 $"
Organic Search,35-44,Hungary,"64,31 %",303,"2,58",00:01:45,87,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Croatia,"64,23 %",469,"2,54",00:01:55,115,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Vietnam,"64,23 %",115,"5,22",00:02:31,108,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,65+,Ireland,"64,23 %",115,"2,41",00:00:47,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Costa Rica,"64,23 %",123,"1,88",00:00:36,36,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,45-54,Japan,"64,21 %",339,"4,85",00:02:58,238,72,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Netherlands,"64,16 %",635,"2,67",00:00:39,209,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,65+,India,"64,12 %",512,"2,56",00:01:40,159,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Turkey,"64,12 %",11.815,"1,82",00:00:41,6.434,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Portugal,"64,10 %",721,"3,38",00:02:29,216,79,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Belgium,"64,06 %",252,"2,08",00:01:11,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Israel,"64,06 %",245,"1,69",00:00:21,101,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Poland,"64,02 %",938,"1,97",00:00:35,317,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Greece,"63,96 %",512,"1,56",00:00:29,216,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Germany,"63,94 %",1.248,"2,20",00:00:43,361,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Austria,"63,89 %",159,"1,56",00:00:20,58,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,25-34,Singapore,"63,85 %",224,"3,38",00:01:31,144,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Belgium,"63,81 %",1.472,"3,40",00:01:09,620,72,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Egypt,"63,60 %",1.255,"1,96",00:00:53,339,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,35-44,Finland,"63,52 %",144,"4,18",00:01:06,108,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Norway,"63,52 %",159,"3,31",00:01:57,87,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Uruguay,"63,52 %",101,"1,77",00:00:42,72,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,18-24,Poland,"63,50 %",123,"2,37",00:01:12,36,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Russia,"63,50 %",115,"2,26",00:02:13,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Saudi Arabia,"63,50 %",123,"3,58",00:01:13,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,55-64,Brazil,"63,46 %",151,"1,57",00:02:09,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Netherlands,"63,45 %",231,"1,97",00:01:28,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,India,"63,40 %",1.169,"1,71",00:00:44,130,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Denmark,"63,29 %",79,"2,38",00:00:16,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Saudi Arabia,"63,29 %",79,"2,01",00:00:54,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,55-64,Japan,"63,29 %",79,"3,84",00:01:44,65,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Vietnam,"63,28 %",8.252,"1,83",00:00:42,1.132,43,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
